"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-01",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-02",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-03",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-04",,,,,"0.25",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-05",,,,,"0.02",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-06",,,,,"0.29",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-07",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-08",,,,,"0.62",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-09",,,,,"2.30",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-10",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-11",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-13",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-14",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-15",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-16",,,,,"0.01",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-17",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-18",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-19",,,,,"0.10",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-20",,,,,"0.02",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-22",,,,,"0.25",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-23",,,,,"0.01",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-24",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-25",,,,,"0.34",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-26",,,,,"0.12",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-27",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-28",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-29",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-30",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-01-31",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-01",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-05",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-07",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-08",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-09",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-10",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-12",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-13",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-14",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-15",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-16",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-17",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-21","    4",",,N","0.01",",,N",,,,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-22",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-23",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-25",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-26",,,,,"0.14",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-27",,,,,"0.14",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-02-28",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-01",,,,,"0.98",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-02",,,,,"0.43",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-03",,,,,"0.33",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-04",,,,,"0.06",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-05",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-06",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-07",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-08",,,,,"0.35",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-10",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-11",,,,,"0.00","T,,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-12",,,,,"0.00",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-13",,,,,"0.28",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-14",,,,,"0.63",",,N",,
"US1CAAL0025","ALBANY 1.7 E, CA US","37.89471","-122.29646","16.8","2018-03-15",,,,,"0.21",",,N",,
